"Chamber","TOD","Time","Microhabitat","Sex","Count"
"1","AFTERNOON",0,"Hydrallmania","M",2
"1","AFTERNOON",0,"Red_Algae","M",0
"1","AFTERNOON",0,"Sand","M",0
"1","AFTERNOON",0,"Sertulariidae","M",1
"2","AFTERNOON",0,"Hydrallmania","M",1
"2","AFTERNOON",0,"Red_Algae","M",1
"2","AFTERNOON",0,"Sand","M",1
"2","AFTERNOON",0,"Sertulariidae","M",0
"3","AFTERNOON",0,"Hydrallmania","M",0
"3","AFTERNOON",0,"Red_Algae","M",2
"3","AFTERNOON",0,"Sand","M",0
"3","AFTERNOON",0,"Sertulariidae","M",1
"4","AFTERNOON",0,"Hydrallmania","M",3
"4","AFTERNOON",0,"Red_Algae","M",0
"4","AFTERNOON",0,"Sand","M",0
"4","AFTERNOON",0,"Sertulariidae","M",0
"5","AFTERNOON",0,"Hydrallmania","M",0
"5","AFTERNOON",0,"Red_Algae","M",1
"5","AFTERNOON",0,"Sand","M",1
"5","AFTERNOON",0,"Sertulariidae","M",1
"6","AFTERNOON",0,"Hydrallmania","M",1
"6","AFTERNOON",0,"Red_Algae","M",1
"6","AFTERNOON",0,"Sand","M",1
"6","AFTERNOON",0,"Sertulariidae","M",0
"7","AFTERNOON",0,"Hydrallmania","M",1
"7","AFTERNOON",0,"Red_Algae","M",1
"7","AFTERNOON",0,"Sand","M",1
"7","AFTERNOON",0,"Sertulariidae","M",0
"8","AFTERNOON",0,"Hydrallmania","M",1
"8","AFTERNOON",0,"Red_Algae","M",1
"8","AFTERNOON",0,"Sand","M",1
"8","AFTERNOON",0,"Sertulariidae","M",0
"9","AFTERNOON",0,"Hydrallmania","M",1
"9","AFTERNOON",0,"Red_Algae","M",0
"9","AFTERNOON",0,"Sand","M",0
"9","AFTERNOON",0,"Sertulariidae","M",2
"10","AFTERNOON",0,"Hydrallmania","M",0
"10","AFTERNOON",0,"Red_Algae","M",1
"10","AFTERNOON",0,"Sand","M",1
"10","AFTERNOON",0,"Sertulariidae","M",1
"11","AFTERNOON",0,"Hydrallmania","M",0
"11","AFTERNOON",0,"Red_Algae","M",2
"11","AFTERNOON",0,"Sand","M",0
"11","AFTERNOON",0,"Sertulariidae","M",1
"12","AFTERNOON",0,"Hydrallmania","M",1
"12","AFTERNOON",0,"Red_Algae","M",0
"12","AFTERNOON",0,"Sand","M",1
"12","AFTERNOON",0,"Sertulariidae","M",1
"13","AFTERNOON",0,"Hydrallmania","M",1
"13","AFTERNOON",0,"Red_Algae","M",0
"13","AFTERNOON",0,"Sand","M",2
"13","AFTERNOON",0,"Sertulariidae","M",0
"14","AFTERNOON",0,"Hydrallmania","M",2
"14","AFTERNOON",0,"Red_Algae","M",1
"14","AFTERNOON",0,"Sand","M",0
"14","AFTERNOON",0,"Sertulariidae","M",0
"15","AFTERNOON",0,"Hydrallmania","F",2
"15","AFTERNOON",0,"Red_Algae","F",0
"15","AFTERNOON",0,"Sand","F",0
"15","AFTERNOON",0,"Sertulariidae","F",1
"16","AFTERNOON",0,"Hydrallmania","F",1
"16","AFTERNOON",0,"Red_Algae","F",1
"16","AFTERNOON",0,"Sand","F",1
"16","AFTERNOON",0,"Sertulariidae","F",0
"17","AFTERNOON",0,"Hydrallmania","F",0
"17","AFTERNOON",0,"Red_Algae","F",1
"17","AFTERNOON",0,"Sand","F",1
"17","AFTERNOON",0,"Sertulariidae","F",1
"18","AFTERNOON",0,"Hydrallmania","F",2
"18","AFTERNOON",0,"Red_Algae","F",1
"18","AFTERNOON",0,"Sand","F",0
"18","AFTERNOON",0,"Sertulariidae","F",0
"19","AFTERNOON",0,"Hydrallmania","F",1
"19","AFTERNOON",0,"Red_Algae","F",1
"19","AFTERNOON",0,"Sand","F",0
"19","AFTERNOON",0,"Sertulariidae","F",1
"1","AFTERNOON",2,"Hydrallmania","M",2
"1","AFTERNOON",2,"Red_Algae","M",0
"1","AFTERNOON",2,"Sand","M",0
"1","AFTERNOON",2,"Sertulariidae","M",1
"2","AFTERNOON",2,"Hydrallmania","M",1
"2","AFTERNOON",2,"Red_Algae","M",2
"2","AFTERNOON",2,"Sand","M",0
"2","AFTERNOON",2,"Sertulariidae","M",0
"3","AFTERNOON",2,"Hydrallmania","M",0
"3","AFTERNOON",2,"Red_Algae","M",2
"3","AFTERNOON",2,"Sand","M",1
"3","AFTERNOON",2,"Sertulariidae","M",0
"4","AFTERNOON",2,"Hydrallmania","M",2
"4","AFTERNOON",2,"Red_Algae","M",0
"4","AFTERNOON",2,"Sand","M",0
"4","AFTERNOON",2,"Sertulariidae","M",0
"5","AFTERNOON",2,"Hydrallmania","M",0
"5","AFTERNOON",2,"Red_Algae","M",1
"5","AFTERNOON",2,"Sand","M",1
"5","AFTERNOON",2,"Sertulariidae","M",1
"6","AFTERNOON",2,"Hydrallmania","M",1
"6","AFTERNOON",2,"Red_Algae","M",2
"6","AFTERNOON",2,"Sand","M",0
"6","AFTERNOON",2,"Sertulariidae","M",0
"7","AFTERNOON",2,"Hydrallmania","M",2
"7","AFTERNOON",2,"Red_Algae","M",0
"7","AFTERNOON",2,"Sand","M",0
"7","AFTERNOON",2,"Sertulariidae","M",1
"8","AFTERNOON",2,"Hydrallmania","M",2
"8","AFTERNOON",2,"Red_Algae","M",1
"8","AFTERNOON",2,"Sand","M",0
"8","AFTERNOON",2,"Sertulariidae","M",0
"9","AFTERNOON",2,"Hydrallmania","M",2
"9","AFTERNOON",2,"Red_Algae","M",0
"9","AFTERNOON",2,"Sand","M",0
"9","AFTERNOON",2,"Sertulariidae","M",1
"10","AFTERNOON",2,"Hydrallmania","M",1
"10","AFTERNOON",2,"Red_Algae","M",1
"10","AFTERNOON",2,"Sand","M",0
"10","AFTERNOON",2,"Sertulariidae","M",1
"11","AFTERNOON",2,"Hydrallmania","M",0
"11","AFTERNOON",2,"Red_Algae","M",2
"11","AFTERNOON",2,"Sand","M",0
"11","AFTERNOON",2,"Sertulariidae","M",1
"12","AFTERNOON",2,"Hydrallmania","M",2
"12","AFTERNOON",2,"Red_Algae","M",0
"12","AFTERNOON",2,"Sand","M",0
"12","AFTERNOON",2,"Sertulariidae","M",1
"13","AFTERNOON",2,"Hydrallmania","M",2
"13","AFTERNOON",2,"Red_Algae","M",0
"13","AFTERNOON",2,"Sand","M",1
"13","AFTERNOON",2,"Sertulariidae","M",0
"14","AFTERNOON",2,"Hydrallmania","M",2
"14","AFTERNOON",2,"Red_Algae","M",1
"14","AFTERNOON",2,"Sand","M",0
"14","AFTERNOON",2,"Sertulariidae","M",0
"15","AFTERNOON",2,"Hydrallmania","F",2
"15","AFTERNOON",2,"Red_Algae","F",0
"15","AFTERNOON",2,"Sand","F",0
"15","AFTERNOON",2,"Sertulariidae","F",1
"16","AFTERNOON",2,"Hydrallmania","F",0
"16","AFTERNOON",2,"Red_Algae","F",1
"16","AFTERNOON",2,"Sand","F",0
"16","AFTERNOON",2,"Sertulariidae","F",2
"17","AFTERNOON",2,"Hydrallmania","F",1
"17","AFTERNOON",2,"Red_Algae","F",1
"17","AFTERNOON",2,"Sand","F",1
"17","AFTERNOON",2,"Sertulariidae","F",0
"18","AFTERNOON",2,"Hydrallmania","F",2
"18","AFTERNOON",2,"Red_Algae","F",1
"18","AFTERNOON",2,"Sand","F",0
"18","AFTERNOON",2,"Sertulariidae","F",0
"19","AFTERNOON",2,"Hydrallmania","F",1
"19","AFTERNOON",2,"Red_Algae","F",1
"19","AFTERNOON",2,"Sand","F",0
"19","AFTERNOON",2,"Sertulariidae","F",1
"1","AFTERNOON",4,"Hydrallmania","M",2
"1","AFTERNOON",4,"Red_Algae","M",0
"1","AFTERNOON",4,"Sand","M",0
"1","AFTERNOON",4,"Sertulariidae","M",1
"2","AFTERNOON",4,"Hydrallmania","M",1
"2","AFTERNOON",4,"Red_Algae","M",2
"2","AFTERNOON",4,"Sand","M",0
"2","AFTERNOON",4,"Sertulariidae","M",0
"3","AFTERNOON",4,"Hydrallmania","M",0
"3","AFTERNOON",4,"Red_Algae","M",2
"3","AFTERNOON",4,"Sand","M",1
"3","AFTERNOON",4,"Sertulariidae","M",0
"4","AFTERNOON",4,"Hydrallmania","M",2
"4","AFTERNOON",4,"Red_Algae","M",0
"4","AFTERNOON",4,"Sand","M",0
"4","AFTERNOON",4,"Sertulariidae","M",0
"5","AFTERNOON",4,"Hydrallmania","M",0
"5","AFTERNOON",4,"Red_Algae","M",0
"5","AFTERNOON",4,"Sand","M",2
"5","AFTERNOON",4,"Sertulariidae","M",1
"6","AFTERNOON",4,"Hydrallmania","M",1
"6","AFTERNOON",4,"Red_Algae","M",2
"6","AFTERNOON",4,"Sand","M",0
"6","AFTERNOON",4,"Sertulariidae","M",0
"7","AFTERNOON",4,"Hydrallmania","M",2
"7","AFTERNOON",4,"Red_Algae","M",0
"7","AFTERNOON",4,"Sand","M",0
"7","AFTERNOON",4,"Sertulariidae","M",1
"8","AFTERNOON",4,"Hydrallmania","M",2
"8","AFTERNOON",4,"Red_Algae","M",1
"8","AFTERNOON",4,"Sand","M",0
"8","AFTERNOON",4,"Sertulariidae","M",0
"9","AFTERNOON",4,"Hydrallmania","M",2
"9","AFTERNOON",4,"Red_Algae","M",0
"9","AFTERNOON",4,"Sand","M",0
"9","AFTERNOON",4,"Sertulariidae","M",1
"10","AFTERNOON",4,"Hydrallmania","M",1
"10","AFTERNOON",4,"Red_Algae","M",1
"10","AFTERNOON",4,"Sand","M",0
"10","AFTERNOON",4,"Sertulariidae","M",1
"11","AFTERNOON",4,"Hydrallmania","M",0
"11","AFTERNOON",4,"Red_Algae","M",2
"11","AFTERNOON",4,"Sand","M",0
"11","AFTERNOON",4,"Sertulariidae","M",1
"12","AFTERNOON",4,"Hydrallmania","M",2
"12","AFTERNOON",4,"Red_Algae","M",0
"12","AFTERNOON",4,"Sand","M",0
"12","AFTERNOON",4,"Sertulariidae","M",1
"13","AFTERNOON",4,"Hydrallmania","M",2
"13","AFTERNOON",4,"Red_Algae","M",0
"13","AFTERNOON",4,"Sand","M",1
"13","AFTERNOON",4,"Sertulariidae","M",0
"14","AFTERNOON",4,"Hydrallmania","M",2
"14","AFTERNOON",4,"Red_Algae","M",1
"14","AFTERNOON",4,"Sand","M",0
"14","AFTERNOON",4,"Sertulariidae","M",0
"15","AFTERNOON",4,"Hydrallmania","F",2
"15","AFTERNOON",4,"Red_Algae","F",0
"15","AFTERNOON",4,"Sand","F",0
"15","AFTERNOON",4,"Sertulariidae","F",1
"16","AFTERNOON",4,"Hydrallmania","F",0
"16","AFTERNOON",4,"Red_Algae","F",1
"16","AFTERNOON",4,"Sand","F",0
"16","AFTERNOON",4,"Sertulariidae","F",2
"17","AFTERNOON",4,"Hydrallmania","F",1
"17","AFTERNOON",4,"Red_Algae","F",1
"17","AFTERNOON",4,"Sand","F",1
"17","AFTERNOON",4,"Sertulariidae","F",0
"18","AFTERNOON",4,"Hydrallmania","F",2
"18","AFTERNOON",4,"Red_Algae","F",1
"18","AFTERNOON",4,"Sand","F",0
"18","AFTERNOON",4,"Sertulariidae","F",0
"19","AFTERNOON",4,"Hydrallmania","F",1
"19","AFTERNOON",4,"Red_Algae","F",1
"19","AFTERNOON",4,"Sand","F",0
"19","AFTERNOON",4,"Sertulariidae","F",1
"1","AFTERNOON",6,"Hydrallmania","M",2
"1","AFTERNOON",6,"Red_Algae","M",0
"1","AFTERNOON",6,"Sand","M",0
"1","AFTERNOON",6,"Sertulariidae","M",1
"2","AFTERNOON",6,"Hydrallmania","M",1
"2","AFTERNOON",6,"Red_Algae","M",2
"2","AFTERNOON",6,"Sand","M",0
"2","AFTERNOON",6,"Sertulariidae","M",0
"3","AFTERNOON",6,"Hydrallmania","M",0
"3","AFTERNOON",6,"Red_Algae","M",2
"3","AFTERNOON",6,"Sand","M",1
"3","AFTERNOON",6,"Sertulariidae","M",0
"4","AFTERNOON",6,"Hydrallmania","M",2
"4","AFTERNOON",6,"Red_Algae","M",0
"4","AFTERNOON",6,"Sand","M",0
"4","AFTERNOON",6,"Sertulariidae","M",0
"5","AFTERNOON",6,"Hydrallmania","M",1
"5","AFTERNOON",6,"Red_Algae","M",0
"5","AFTERNOON",6,"Sand","M",1
"5","AFTERNOON",6,"Sertulariidae","M",1
"6","AFTERNOON",6,"Hydrallmania","M",1
"6","AFTERNOON",6,"Red_Algae","M",2
"6","AFTERNOON",6,"Sand","M",0
"6","AFTERNOON",6,"Sertulariidae","M",0
"7","AFTERNOON",6,"Hydrallmania","M",2
"7","AFTERNOON",6,"Red_Algae","M",0
"7","AFTERNOON",6,"Sand","M",0
"7","AFTERNOON",6,"Sertulariidae","M",1
"8","AFTERNOON",6,"Hydrallmania","M",1
"8","AFTERNOON",6,"Red_Algae","M",1
"8","AFTERNOON",6,"Sand","M",0
"8","AFTERNOON",6,"Sertulariidae","M",0
"9","AFTERNOON",6,"Hydrallmania","M",2
"9","AFTERNOON",6,"Red_Algae","M",0
"9","AFTERNOON",6,"Sand","M",0
"9","AFTERNOON",6,"Sertulariidae","M",1
"10","AFTERNOON",6,"Hydrallmania","M",1
"10","AFTERNOON",6,"Red_Algae","M",1
"10","AFTERNOON",6,"Sand","M",0
"10","AFTERNOON",6,"Sertulariidae","M",1
"11","AFTERNOON",6,"Hydrallmania","M",1
"11","AFTERNOON",6,"Red_Algae","M",1
"11","AFTERNOON",6,"Sand","M",0
"11","AFTERNOON",6,"Sertulariidae","M",1
"12","AFTERNOON",6,"Hydrallmania","M",2
"12","AFTERNOON",6,"Red_Algae","M",0
"12","AFTERNOON",6,"Sand","M",0
"12","AFTERNOON",6,"Sertulariidae","M",1
"13","AFTERNOON",6,"Hydrallmania","M",2
"13","AFTERNOON",6,"Red_Algae","M",0
"13","AFTERNOON",6,"Sand","M",1
"13","AFTERNOON",6,"Sertulariidae","M",0
"14","AFTERNOON",6,"Hydrallmania","M",2
"14","AFTERNOON",6,"Red_Algae","M",1
"14","AFTERNOON",6,"Sand","M",0
"14","AFTERNOON",6,"Sertulariidae","M",0
"15","AFTERNOON",6,"Hydrallmania","F",2
"15","AFTERNOON",6,"Red_Algae","F",0
"15","AFTERNOON",6,"Sand","F",0
"15","AFTERNOON",6,"Sertulariidae","F",1
"16","AFTERNOON",6,"Hydrallmania","F",0
"16","AFTERNOON",6,"Red_Algae","F",1
"16","AFTERNOON",6,"Sand","F",0
"16","AFTERNOON",6,"Sertulariidae","F",2
"17","AFTERNOON",6,"Hydrallmania","F",1
"17","AFTERNOON",6,"Red_Algae","F",1
"17","AFTERNOON",6,"Sand","F",0
"17","AFTERNOON",6,"Sertulariidae","F",1
"18","AFTERNOON",6,"Hydrallmania","F",2
"18","AFTERNOON",6,"Red_Algae","F",1
"18","AFTERNOON",6,"Sand","F",0
"18","AFTERNOON",6,"Sertulariidae","F",0
"19","AFTERNOON",6,"Hydrallmania","F",1
"19","AFTERNOON",6,"Red_Algae","F",1
"19","AFTERNOON",6,"Sand","F",0
"19","AFTERNOON",6,"Sertulariidae","F",1
"1","NIGHT",8,"Hydrallmania","M",3
"1","NIGHT",8,"Red_Algae","M",0
"1","NIGHT",8,"Sand","M",0
"1","NIGHT",8,"Sertulariidae","M",0
"2","NIGHT",8,"Hydrallmania","M",1
"2","NIGHT",8,"Red_Algae","M",2
"2","NIGHT",8,"Sand","M",0
"2","NIGHT",8,"Sertulariidae","M",0
"3","NIGHT",8,"Hydrallmania","M",0
"3","NIGHT",8,"Red_Algae","M",1
"3","NIGHT",8,"Sand","M",2
"3","NIGHT",8,"Sertulariidae","M",0
"4","NIGHT",8,"Hydrallmania","M",2
"4","NIGHT",8,"Red_Algae","M",0
"4","NIGHT",8,"Sand","M",0
"4","NIGHT",8,"Sertulariidae","M",0
"5","NIGHT",8,"Hydrallmania","M",1
"5","NIGHT",8,"Red_Algae","M",0
"5","NIGHT",8,"Sand","M",1
"5","NIGHT",8,"Sertulariidae","M",1
"6","NIGHT",8,"Hydrallmania","M",1
"6","NIGHT",8,"Red_Algae","M",2
"6","NIGHT",8,"Sand","M",0
"6","NIGHT",8,"Sertulariidae","M",0
"7","NIGHT",8,"Hydrallmania","M",2
"7","NIGHT",8,"Red_Algae","M",0
"7","NIGHT",8,"Sand","M",0
"7","NIGHT",8,"Sertulariidae","M",1
"8","NIGHT",8,"Hydrallmania","M",1
"8","NIGHT",8,"Red_Algae","M",1
"8","NIGHT",8,"Sand","M",0
"8","NIGHT",8,"Sertulariidae","M",0
"9","NIGHT",8,"Hydrallmania","M",2
"9","NIGHT",8,"Red_Algae","M",0
"9","NIGHT",8,"Sand","M",0
"9","NIGHT",8,"Sertulariidae","M",1
"10","NIGHT",8,"Hydrallmania","M",1
"10","NIGHT",8,"Red_Algae","M",1
"10","NIGHT",8,"Sand","M",0
"10","NIGHT",8,"Sertulariidae","M",1
"11","NIGHT",8,"Hydrallmania","M",0
"11","NIGHT",8,"Red_Algae","M",2
"11","NIGHT",8,"Sand","M",0
"11","NIGHT",8,"Sertulariidae","M",1
"12","NIGHT",8,"Hydrallmania","M",2
"12","NIGHT",8,"Red_Algae","M",0
"12","NIGHT",8,"Sand","M",0
"12","NIGHT",8,"Sertulariidae","M",1
"13","NIGHT",8,"Hydrallmania","M",2
"13","NIGHT",8,"Red_Algae","M",0
"13","NIGHT",8,"Sand","M",1
"13","NIGHT",8,"Sertulariidae","M",0
"14","NIGHT",8,"Hydrallmania","M",2
"14","NIGHT",8,"Red_Algae","M",1
"14","NIGHT",8,"Sand","M",0
"14","NIGHT",8,"Sertulariidae","M",0
"15","NIGHT",8,"Hydrallmania","F",2
"15","NIGHT",8,"Red_Algae","F",0
"15","NIGHT",8,"Sand","F",0
"15","NIGHT",8,"Sertulariidae","F",1
"16","NIGHT",8,"Hydrallmania","F",0
"16","NIGHT",8,"Red_Algae","F",1
"16","NIGHT",8,"Sand","F",0
"16","NIGHT",8,"Sertulariidae","F",2
"17","NIGHT",8,"Hydrallmania","F",1
"17","NIGHT",8,"Red_Algae","F",1
"17","NIGHT",8,"Sand","F",1
"17","NIGHT",8,"Sertulariidae","F",0
"18","NIGHT",8,"Hydrallmania","F",2
"18","NIGHT",8,"Red_Algae","F",1
"18","NIGHT",8,"Sand","F",0
"18","NIGHT",8,"Sertulariidae","F",0
"19","NIGHT",8,"Hydrallmania","F",1
"19","NIGHT",8,"Red_Algae","F",1
"19","NIGHT",8,"Sand","F",0
"19","NIGHT",8,"Sertulariidae","F",1
"1","NIGHT",10,"Hydrallmania","M",0
"1","NIGHT",10,"Red_Algae","M",3
"1","NIGHT",10,"Sand","M",0
"1","NIGHT",10,"Sertulariidae","M",0
"2","NIGHT",10,"Hydrallmania","M",0
"2","NIGHT",10,"Red_Algae","M",1
"2","NIGHT",10,"Sand","M",0
"2","NIGHT",10,"Sertulariidae","M",2
"3","NIGHT",10,"Hydrallmania","M",0
"3","NIGHT",10,"Red_Algae","M",1
"3","NIGHT",10,"Sand","M",2
"3","NIGHT",10,"Sertulariidae","M",0
"4","NIGHT",10,"Hydrallmania","M",2
"4","NIGHT",10,"Red_Algae","M",0
"4","NIGHT",10,"Sand","M",0
"4","NIGHT",10,"Sertulariidae","M",0
"5","NIGHT",10,"Hydrallmania","M",0
"5","NIGHT",10,"Red_Algae","M",1
"5","NIGHT",10,"Sand","M",1
"5","NIGHT",10,"Sertulariidae","M",1
"6","NIGHT",10,"Hydrallmania","M",1
"6","NIGHT",10,"Red_Algae","M",2
"6","NIGHT",10,"Sand","M",0
"6","NIGHT",10,"Sertulariidae","M",0
"7","NIGHT",10,"Hydrallmania","M",1
"7","NIGHT",10,"Red_Algae","M",1
"7","NIGHT",10,"Sand","M",0
"7","NIGHT",10,"Sertulariidae","M",1
"8","NIGHT",10,"Hydrallmania","M",1
"8","NIGHT",10,"Red_Algae","M",1
"8","NIGHT",10,"Sand","M",0
"8","NIGHT",10,"Sertulariidae","M",0
"9","NIGHT",10,"Hydrallmania","M",2
"9","NIGHT",10,"Red_Algae","M",0
"9","NIGHT",10,"Sand","M",0
"9","NIGHT",10,"Sertulariidae","M",1
"10","NIGHT",10,"Hydrallmania","M",0
"10","NIGHT",10,"Red_Algae","M",1
"10","NIGHT",10,"Sand","M",0
"10","NIGHT",10,"Sertulariidae","M",1
"11","NIGHT",10,"Hydrallmania","M",1
"11","NIGHT",10,"Red_Algae","M",1
"11","NIGHT",10,"Sand","M",0
"11","NIGHT",10,"Sertulariidae","M",0
"12","NIGHT",10,"Hydrallmania","M",2
"12","NIGHT",10,"Red_Algae","M",0
"12","NIGHT",10,"Sand","M",0
"12","NIGHT",10,"Sertulariidae","M",1
"13","NIGHT",10,"Hydrallmania","M",2
"13","NIGHT",10,"Red_Algae","M",0
"13","NIGHT",10,"Sand","M",1
"13","NIGHT",10,"Sertulariidae","M",0
"14","NIGHT",10,"Hydrallmania","M",2
"14","NIGHT",10,"Red_Algae","M",1
"14","NIGHT",10,"Sand","M",0
"14","NIGHT",10,"Sertulariidae","M",0
"15","NIGHT",10,"Hydrallmania","F",2
"15","NIGHT",10,"Red_Algae","F",0
"15","NIGHT",10,"Sand","F",0
"15","NIGHT",10,"Sertulariidae","F",1
"16","NIGHT",10,"Hydrallmania","F",0
"16","NIGHT",10,"Red_Algae","F",1
"16","NIGHT",10,"Sand","F",0
"16","NIGHT",10,"Sertulariidae","F",2
"17","NIGHT",10,"Hydrallmania","F",1
"17","NIGHT",10,"Red_Algae","F",1
"17","NIGHT",10,"Sand","F",1
"17","NIGHT",10,"Sertulariidae","F",0
"18","NIGHT",10,"Hydrallmania","F",2
"18","NIGHT",10,"Red_Algae","F",1
"18","NIGHT",10,"Sand","F",0
"18","NIGHT",10,"Sertulariidae","F",0
"19","NIGHT",10,"Hydrallmania","F",1
"19","NIGHT",10,"Red_Algae","F",1
"19","NIGHT",10,"Sand","F",0
"19","NIGHT",10,"Sertulariidae","F",1
"1","NIGHT",12,"Hydrallmania","M",0
"1","NIGHT",12,"Red_Algae","M",3
"1","NIGHT",12,"Sand","M",0
"1","NIGHT",12,"Sertulariidae","M",0
"2","NIGHT",12,"Hydrallmania","M",0
"2","NIGHT",12,"Red_Algae","M",1
"2","NIGHT",12,"Sand","M",1
"2","NIGHT",12,"Sertulariidae","M",1
"3","NIGHT",12,"Hydrallmania","M",0
"3","NIGHT",12,"Red_Algae","M",1
"3","NIGHT",12,"Sand","M",1
"3","NIGHT",12,"Sertulariidae","M",1
"4","NIGHT",12,"Hydrallmania","M",2
"4","NIGHT",12,"Red_Algae","M",0
"4","NIGHT",12,"Sand","M",0
"4","NIGHT",12,"Sertulariidae","M",0
"5","NIGHT",12,"Hydrallmania","M",0
"5","NIGHT",12,"Red_Algae","M",1
"5","NIGHT",12,"Sand","M",1
"5","NIGHT",12,"Sertulariidae","M",1
"6","NIGHT",12,"Hydrallmania","M",1
"6","NIGHT",12,"Red_Algae","M",2
"6","NIGHT",12,"Sand","M",0
"6","NIGHT",12,"Sertulariidae","M",0
"7","NIGHT",12,"Hydrallmania","M",0
"7","NIGHT",12,"Red_Algae","M",2
"7","NIGHT",12,"Sand","M",0
"7","NIGHT",12,"Sertulariidae","M",1
"8","NIGHT",12,"Hydrallmania","M",1
"8","NIGHT",12,"Red_Algae","M",1
"8","NIGHT",12,"Sand","M",0
"8","NIGHT",12,"Sertulariidae","M",0
"9","NIGHT",12,"Hydrallmania","M",2
"9","NIGHT",12,"Red_Algae","M",0
